CHOL(386),COCA(2005),ESCA(514),LIHC(1163),PAAD(389),STAD(928),3149 all,44 common,cooccurence(5955)
,,,,,,,,SMYD3
,,,,,,,,FOSB
,,,,,,,,NPY
,,,,,,,,IGFBP5
,,,,,,,,ANGPT2
,,,,,,,,CD38
,,,,,,,,NTRK1
,,,,,,,,CAMP
,,,,,,,,OXT
,,,,,,,,CHKA
,,,,,,,,PNPLA3
,,,,,,,,INHBE
,,,,,,,,ALAS1
,,,,,,,,AAAS
,,,,,,,,ASH1L
,,,,,,,,APOA1BP
,,,,,,,,PYGO2
,,,,,,,,IQGAP3
,,,,,,,,SCAMP3
,,,,,,,,CCT3
,,,,,,,,GLUL
,,,,,,,,DTNB
,,,,,,,,NCOA2
,,,,,,,,CD1D
,,,,,,,,SERPINA4
,,,,,,,,MTUS1
,,,,,,,,GPAA1
,,,,,,,,ACSL4
,,,,,,,,ZNF267
,,,,,,,,MAFK
,,,,,,,,SHOC2
,,,,,,,,LARS
,,,,,,,,GABRA3
,,,,,,,,FHL3
,,,,,,,,KRT18
,,,,,,,,ANPEP
,,,,,,,,PAX4
,,,,,,,,GPR78
,,,,,,,,STAT2
,,,,,,,,TNRC6B
,,,,,,,,CORO1C
,,,,,,,,MTR
,,,,,,,,MAT1A
,,,,,,,,SMARCAD1
,,,,,,,,ENPP3
,,,,,,,,DPAGT1
,,,,,,,,F2RL3
,,,,,,,,HINT2
,,,,,,,,CCAR1
,,,,,,,,MX1
,,,,,,,,LAMB1
,,,,,,,,VASP
,,,,,,,,MPG
,,,,,,,,E2F5
,,,,,,,,SLC22A7
,,,,,,,,RPLP0
,,,,,,,,RGS2
,,,,,,,,FGFBP1
,,,,,,,,SAA1
,,,,,,,,PPARGC1A
,,,,,,,,AVP
,,,,,,,,DEPDC5
,,,,,,,,KRT1
,,,,,,,,GALNT2
,,,,,,,,F8
,,,,,,,,ERCC3
,,,,,,,,RAD23B
,,,,,,,,ROMO1
,,,,,,,,THRB
,,,,,,,,MT1G
,,,,,,,,FGL1
,,,,,,,,CYP7B1
,,,,,,,,IGFALS
,,,,,,,,CMTM5
,,,,,,,,RASAL1
,,,,,,,,ADAMTS8
,,,,,,,,DLGAP5
,,,,,,,,HDLBP
,,,,,,,,SYT13
,,,,,,,,CAPNS1
,,,,,,,,TREM1
,,,,,,,,CDK14
,,,,,,,,LHX4
,,,,,,,,FDPS
,,,,,,,,NPAT
,,,,,,,,KREMEN1
,,,,,,,,CITED1
,,,,,,,,ACOX1
,,,,,,,,BHMT
,,,,,,,,PPP6C
,,,,,,,,CLIC4
,,,,,,,,GGCX
,,,,,,,,IL18
,,,,,,,,ABCD1
,,,,,,,,ABCD2
,,,,,,,,CRHR2
,,,,,,,,MSRA
,,,,,,,,DDX3X
,,,,,,,,CCL13
,,,,,,,,MTTP
,,,,,,,,GFER
,,,,,,,,MEG3
,,,,,,,,JARID2
,,,,,,,,BET1
,,,,,,,,KCNA3
,,,,,,,,NME1-NME2
,,,,,,,,NKRF
,,,,,,,,TFAM
,,,,,,,,MT-CO1
,,,,,,,,GBE1
,,,,,,,,EAF1
,,,,,,,,ELL
,,,,,,,,HMBOX1
,,,,,,,,HSPB6
,,,,,,,,HAVCR1
,,,,,,,,PHF20
,,,,,,,,ATF5
,,,,,,,,ORM2
,,,,,,,,HPX
,,,,,,,,DNAJC12
,,,,,,,,HLA-G
,,,,,,,,ZBP1
,,,,,,,,MBD3
,,,,,,,,SERPINB3
,,,,,,,,DAD1
,,,,,,,,CDC34
,,,,,,,,LHFPL1
,,,,,,,,GRAP2
,,,,,,,,CCNDBP1
,,,,,,,,ORAI1
,,,,,,,,STIM1
,,,,,,,,DOCK8
,,,,,,,,PNLIPRP3
,,,,,,,,ACSS1
,,,,,,,,UBXN8
,,,,,,,,RTN4
,,,,,,,,TIGAR
,,,,,,,,MT1F
,,,,,,,,RETNLB
,,,,,,,,FAM172A
,,,,,,,,APOBEC3B
,,,,,,,,EGFL7
,,,,,,,,GMDS
,,,,,,,,ANTXR1
,,,,,,,,UGT1A4
,,,,,,,,UGT2B17
,,,,,,,,UGT2B15
,,,,,,,,UGT2B10
,,,,,,,,UGT1A3
,,,,,,,,UGT2B7
,,,,,,,,UGT2B4
,,,,,,,,ANAPC11
,,,,,,,,SAG
,,,,,,,,BMF
,,,,,,,,CPQ
,,,,,,,,CCNF
,,,,,,,,MT1M
,,,,,,,,ABCG1
,,,,,,,,CCR1
,,,,,,,,EWSR1
,,,,,,,,CD8A
,,,,,,,,LECT2
,,,,,,,,GIT1
,,,,,,,,MIR185
,,,,,,,,ONECUT2
,,,,,,,,ATP8B1
,,,,,,,,CSMD1
,,,,,,,,BNIP2
,,,,,,,,BNIPL
,,,,,,,,VASH2
,,,,,,,,E2F3P1
,,,,,,,,ZMYM2
,,,,,,,,SETD7
,,,,,,,,PPP2CA
,,,,,,,,LAMTOR5
,,,,,,,,EPHA6
,,,,,,,,EPHB6
,,,,,,,,TSPY1
,,,,,,,,GAL3ST1
,,,,,,,,GLYATL2
,,,,,,,,GLYATL1
,,,,,,,,RPGRIP1L
,,,,,,,,RBL2
,,,,,,,,CHD9
,,,,,,,,SCARA5
,,,,,,,,RNF8
,,,,,,,,TSC22D1
,,,,,,,,MIR26B
,,,,,,,,TAB3
,,,,,,,,SLC7A1
,,,,,,,,UBA2
,,,,,,,,ZNF185
,,,,,,,,UBE4B
,,,,,,,,APOM
,,,,,,,,TMPRSS6
,,,,,,,,HAMP
,,,,,,,,MAPKAP1
,,,,,,,,APLN
,,,,,,,,TSC1
,,,,,,,,ATP5F1
,,,,,,,,RPS5
,,,,,,,,HULC
,,,,,,,,PRKACB
,,,,,,,,TPTE
,,,,,,,,COIL
,,,,,,,,PROS1
,,,,,,,,IDH2
,,,,,,,,NCOR2
,,,,,,,,NCOR1
,,,,,,,,IFNA21
,,,,,,,,DACT2
,,,,,,,,PACRG
,,,,,,,,VSX2
,,,,,,,,OTUD7B
,,,,,,,,DNM3
,,,,,,,,HOTTIP
,,,,,,,,GALNT14
,,,,,,,,SMG1
,,,,,,,,RGN
,,,,,,,,SCN5A
,,,,,,,,UGT1A8
,,,,,,,,UGT1A10
,,,,,,,,XIST
,,,,,,,,LIPH
,,,,,,,,APOBEC3G
,,,,,,,,CCL27
,,,,,,,,MAT2B
,,,,,,,,PDE5A
,,,,,,,,BASP1
,,,,,,,,SRD5A2
,,,,,,,,HAS2
,,,,,,,,PBK
,,,,,,,,TET3
,,,,,,,,TET2
,,,,,,,,NNAT
,,,,,,,,OR51E1
,,,,,,,,TAF1B
,,,,,,,,ASTE1
,,,,,,,,SOCS7
,,,,,,,,SOCS5
,,,,,,,,NEK7
,,,,,,,,AKR7A3
,,,,,,,,LEMD1
,,,,,,,,MIR16-1
,,,,,,,,IL20
,,,,,,,,TKTL2
,,,,,,,,SLC25A13
,,,,,,,,G6PC
,,,,,,,,RPS3A
,,,,,,,,STARD8
,,,,,,,,TNS2
,,,,,,,,SCRIB
,,,,,,,,HNRNPU
,,,,,,,,HNRNPF
,,,,,,,,TNFSF18
,,,,,,,,GNAI1
,,,,,,,,BIN1
,,,,,,,,GCLC
,,,,,,,,NME7
,,,,,,,,CLEC4C
,,,,,,,,PEX1
,,,,,,,,CERS6
,,,,,,,,E2F2
,,,,,,,,E2F8
,,,,,,,,DUSP9
,,,,,,,,RAB1A
,,,,,,,,SDHA
,,,,,,,,BOC
,,,,,,,,NPAS2
,,,,,,,,MLC1
,,,,,,,,CHD1L
,,,,,,,,CENPS
,,,,,,,,MX2
,,,,,,,,ARHGAP35
,,,,,,,,ARL6
,,,,,,,,SLC2A3
,,,,,,,,TLE1
,,,,,,,,SRD5A1
,,,,,,,,HCP5
,,,,,,,,PRDX5
,,,,,,,,SNRPE
,,,,,,,,TRIM35
,,,,,,,,IDH1
,,,,,,,,UROD
,,,,,,,,DGAT1
,,,,,,,,FBN1
,,,,,,,,HOXA7
,,,,,,,,CSNK2B
,,,,,,,,IDH3B
,,,,,,,,MT1E
,,,,,,,,MT1H
,,,,,,,,HABP2
,,,,,,,,IGF2BP2
,,,,,,,,ZNF24
,,,,,,,,SERPINA5
,,,,,,,,SNCG
,,,,,,,,NOB1
,,,,,,,,BUD31
,,,,,,,,NETO2
,,,,,,,,LATS1
,,,,,,,,SMAD6
,,,,,,,,KCNJ10
,,,,,,,,SERTAD2
,,,,,,,,ARHGEF19
,,,,,,,,LIN9
,,,,,,,,NEIL2
,,,,,,,,BRD3
,,,,,,,,CEMIP
,,,,,,,,MAD2L2
,,,,,,,,SHB
,,,,,,,,TMEM45A
,,,,,,,,TFDP1
,,,,,,,,BAIAP2L1
,,,,,,,,PRDX1
,,,,,,,,USP7
,,,,,,,,ENSA
,,,,,,,,MASTL
,,,,,,,,MAPK14
,,,,,,,,PATZ1
,,,,,,,,AKAP3
,,,,,,,,UBQLN3
,,,,,,,,SPANXC
,,,,,,,,SENP6
,,,,,,,,SRSF3
,,,,,,,,RRM2B
,,,,,,,,FGF21
,,,,,,,,OPTN
,,,,,,,,RHEB
,,,,,,,,LIMS1
,,,,,,,,GOLGA5
,,,,,,,,ADO
,,,,,,,,IKBKG
,,,,,,,,ARL5A
,,,,,,,,RAB1B
,,,,,,,,RAB10
,,,,,,,,RAB4B
,,,,,,,,RAB22A
,,,,,,,,RAB24
,,,,,,,,FAM43B
,,,,,,,,MKL1
,,,,,,,,CBFA2T3
,,,,,,,,ALX4
,,,,,,,,LAT2
,,,,,,,,MFAP3L
,,,,,,,,NEFL
,,,,,,,,AOC3
,,,,,,,,ZKSCAN3
,,,,,,,,IRF5
,,,,,,,,SSTR4
,,,,,,,,CLDN10
,,,,,,,,EPHA5
,,,,,,,,SMR3B
,,,,,,,,UBE3A
,,,,,,,,SERPINB4
,,,,,,,,GBA3
,,,,,,,,CHL1
,,,,,,,,HMGN2
,,,,,,,,TM4SF5
,,,,,,,,INHA
,,,,,,,,PHF6
,,,,,,,,STAB1
,,,,,,,,ACOX2
,,,,,,,,ACOX3
,,,,,,,,LDHA
,,,,,,,,NDUFA9
,,,,,,,,LDHB
,,,,,,,,PLK4
,,,,,,,,TOP1
,,,,,,,,HIPK2
,,,,,,,,AS3MT
,,,,,,,,EIF5A2
,,,,,,,,XPO4
,,,,,,,,TRIB2
,,,,,,,,APOBEC3F
,,,,,,,,APOBEC3C
,,,,,,,,LPA
,,,,,,,,ZNF395
,,,,,,,,DIO3
,,,,,,,,MTCH1
,,,,,,,,VPS4A
,,,,,,,,SKA1
,,,,,,,,ATP2A2
,,,,,,,,KCTD2
,,,,,,,,ELAVL4
,,,,,,,,TM4SF4
,,,,,,,,SLC15A2
,,,,,,,,SLC22A8
,,,,,,,,SLC10A1
,,,,,,,,SKIL
,,,,,,,,EBF1
,,,,,,,,RAG1
,,,,,,,,NR1I3
,,,,,,,,HEPACAM
,,,,,,,,IFT88
,,,,,,,,CXCL14
,,,,,,,,LETM1
,,,,,,,,RPA1
,,,,,,,,ZNF484
,,,,,,,,TRIP10
,,,,,,,,PHLDA2
,,,,,,,,FAM189B
,,,,,,,,ITIH4
,,,,,,,,CREB3L3
,,,,,,,,PIK3IP1
,,,,,,,,ZBTB7A
,,,,,,,,HPD
,,,,,,,,SGCE
,,,,,,,,DYNC1I1
,,,,,,,,DTL
,,,,,,,,PTGIS
,,,,,,,,MARS
,,,,,,,,ALG9
,,,,,,,,ZNF410
,,,,,,,,TSG101
,,,,,,,,HLA-E
,,,,,,,,HEPN1
,,,,,,,,GSTA5
,,,,,,,,MPZL1
,,,,,,,,CDK5RAP3
,,,,,,,,XRN2
,,,,,,,,CYP3A7
,,,,,,,,HYOU1
,,,,,,,,PZP
,,,,,,,,POMT1
,,,,,,,,POMT2
,,,,,,,,KDELR1
,,,,,,,,SDF2L1
,,,,,,,,SDF2
,,,,,,,,LHB
,,,,,,,,EDEM1
,,,,,,,,ALDH1B1
,,,,,,,,MCM9
,,,,,,,,MCM2
,,,,,,,,ASF1A
,,,,,,,,MC1R
,,,,,,,,ITGB8
,,,,,,,,MAPK12
,,,,,,,,EPS15
,,,,,,,,MCMBP
,,,,,,,,HMOX2
,,,,,,,,SLU7
,,,,,,,,DAB2
,,,,,,,,BYSL
,,,,,,,,FUT8
,,,,,,,,PLXDC1
,,,,,,,,CXCL13
,,,,,,,,ABCA1
,,,,,,,,ABCA2
,,,,,,,,ACLY
,,,,,,,,TSPO
,,,,,,,,MAD2L1
,,,,,,,,ACSL1
,,,,,,,,DEPTOR
,,,,,,,,ABCC10
,,,,,,,,PRAP1
,,,,,,,,PTGR1
,,,,,,,,RANBP3
,,,,,,,,TAX1BP3
,,,,,,,,GPSM2
,,,,,,,,IL27
,,,,,,,,MAGEC1
,,,,,,,,CCDC40
,,,,,,,,MCTP1
,,,,,,,,MCM3AP
,,,,,,,,SYNGAP1
,,,,,,,,NR2F1
,,,,,,,,APOC3
,,,,,,,,CRYL1
,,,,,,,,CTSS
,,,,,,,,SIAH1
,,,,,,,,MTA3
,,,,,,,,KLB
,,,,,,,,TNFRSF10D
,,,,,,,,TRIM24
,,,,,,,,PSRC1
,,,,,,,,MYO1E
,,,,,,,,NDUFAF1
,,,,,,,,MAP7
,,,,,,,,MGEA5
,,,,,,,,IFNL3
,,,,,,,,FLOT1
,,,,,,,,MIR602
,,,,,,,,NELL2
,,,,,,,,NUP210
,,,,,,,,PROSP
,,,,,,,,MAFF
,,,,,,,,ZHX1
,,,,,,,,HCFC1
,,,,,,,,CNTFR
,,,,,,,,CNTF
,,,,,,,,ACP5
,,,,,,,,HIST1H2BF
,,,,,,,,RAB27A
,,,,,,,,CCNK
,,,,,,,,ACACA
,,,,,,,,SOX6
,,,,,,,,PPP1R12A
,,,,,,,,TSGA10
,,,,,,,,SEC62
,,,,,,,,MIR99A
,,,,,,,,ACY1
,,,,,,,,TFR2
,,,,,,,,SASH1
,,,,,,,,DPT
,,,,,,,,ZCCHC11
,,,,,,,,SAMHD1
,,,,,,,,PRDX3
,,,,,,,,PFKFB3
,,,,,,,,PFKFB4
,,,,,,,,NPAS1
,,,,,,,,MMRN1
,,,,,,,,CYP4B1
,,,,,,,,HM13
,,,,,,,,RHBDD1
,,,,,,,,TMEM132D
,,,,,,,,FDX1
,,,,,,,,APOBEC3A
,,,,,,,,MCM3
,,,,,,,,GSTA3
,,,,,,,,HLA-F
,,,,,,,,PDGFC
,,,,,,,,FGR
,,,,,,,,SLC16A3
,,,,,,,,TP53I11
,,,,,,,,GAS7
,,,,,,,,TSTA3
,,,,,,,,GABARAP
,,,,,,,,COL6A2
,,,,,,,,PROK2
,,,,,,,,PROKR1
,,,,,,,,STX17
,,,,,,,,MLLT4
,,,,,,,,SERPINB1
,,,,,,,,MT-ND1
,,,,,,,,MT-CO2
,,,,,,,,MT-CO3
,,,,,,,,P3H1
,,,,,,,,IGDCC3
,,,,,,,,RIT1
,,,,,,,,GDF3
,,,,,,,,TSHB
,,,,,,,,AMELY
,,,,,,,,BOP1
,,,,,,,,OSBP
,,,,,,,,OSBP2
,,,,,,,,UBB
,,,,,,,,RASSF5
,,,,,,,,SOX1
,,,,,,,,GRHL1
,,,,,,,,DENND2D
,,,,,,,,ITIH2
,,,,,,,,METAP2
,,,,,,,,HMGN3
,,,,,,,,STAU2
,,,,,,,,FPR2
,,,,,,,,CUL3
,,,,,,,,S100A14
,,,,,,,,RPL35
,,,,,,,,ATF7
,,,,,,,,AGXT
,,,,,,,,CENPF
,,,,,,,,CDK13
,,,,,,,,ITGA5
,,,,,,,,ENTPD5
,,,,,,,,GPD1
,,,,,,,,CARM1
,,,,,,,,MASP2
,,,,,,,,TCL1A
,,,,,,,,TAB2
,,,,,,,,C1GALT1
,,,,,,,,FNDC3B
,,,,,,,,HSPA4
,,,,,,,,THRA
,,,,,,,,MIR503
,,,,,,,,HDGF
,,,,,,,,LRRC1
,,,,,,,,SHMT1
,,,,,,,,HSP90AA1
,,,,,,,,ARF3
,,,,,,,,XAB2
,,,,,,,,PAGE4
,,,,,,,,PRMT1
,,,,,,,,MIA2
,,,,,,,,TCF12
,,,,,,,,HMGCS1
,,,,,,,,HSD17B7
,,,,,,,,HLA-DOA
,,,,,,,,TPM3
,,,,,,,,ABCG5
,,,,,,,,C1QTNF6
,,,,,,,,HMGB2
,,,,,,,,UBE2I
,,,,,,,,AMPD1
,,,,,,,,AMPD2
,,,,,,,,AMPD3
,,,,,,,,CYP4F2
,,,,,,,,CYP4F3
,,,,,,,,CYP27A1
,,,,,,,,MEF2D
,,,,,,,,EDN1
,,,,,,,,CREM
,,,,,,,,CERS2
,,,,,,,,TSPAN12
,,,,,,,,IFNB1
,,,,,,,,AOX1
,,,,,,,,SHOX2
,,,,,,,,UCN
,,,,,,,,GLRX3
,,,,,,,,GRAMD4
,,,,,,,,ARL4C
,,,,,,,,ARNTL
,,,,,,,,HIF3A
,,,,,,,,ASAP3
,,,,,,,,SOAT2
,,,,,,,,ACAT1
,,,,,,,,LTBP2
,,,,,,,,SULT2B1
,,,,,,,,ADAM28
,,,,,,,,ITM2C
,,,,,,,,HSF2
,,,,,,,,SC5D
,,,,,,,,CNTN2
,,,,,,,,TDRD5
,,,,,,,,TDRD1
,,,,,,,,PRIMA1
,,,,,,,,RGS17
,,,,,,,,PFKFB2
,,,,,,,,NEFH
,,,,,,,,VAMP8
,,,,,,,,RASSF9
,,,,,,,,RPS2
,,,,,,,,APOBEC1
,,,,,,,,SLC38A4
,,,,,,,,SLC7A2
,,,,,,,,SAT2
,,,,,,,,PTPRH
,,,,,,,,PTMA
,,,,,,,,IL1RAP
,,,,,,,,TCF7
,,,,,,,,PTBP1
,,,,,,,,NKX2-8
,,,,,,,,NSD1
,,,,,,,,ATP5B
,,,,,,,,ERLIN2
,,,,,,,,KIF3B
,,,,,,,,OSGIN1
,,,,,,,,DUSP21
,,,,,,,,GRIK1
,,,,,,,,BTK
,,,,,,,,EIF4A1
,,,,,,,,FN1
,,,,,,,,RPS10
,,,,,,,,RPS21
,,,,,,,,EEF1G
,,,,,,,,RPL9
,,,,,,,,RPL13A
,,,,,,,,RPL4
,,,,,,,,RARRES3
,,,,,,,,PPM1K
,,,,,,,,NEK8
,,,,,,,,PEX7
,,,,,,,,MOK
,,,,,,,,TAX1BP1
,,,,,,,,RPS6KA3
,,,,,,,,ADM2
,,,,,,,,AHSG
,,,,,,,,TIPARP
,,,,,,,,KIR2DL3
,,,,,,,,DDX20
,,,,,,,,DLX4
,,,,,,,,COL4A1
,,,,,,,,VPS37A
,,,,,,,,RBP5
,,,,,,,,NR4A3
,,,,,,,,LPCAT1
,,,,,,,,PAPSS2
,,,,,,,,AZIN1
,,,,,,,,ADAR
,,,,,,,,LOXL4
,,,,,,,,CMTM8
,,,,,,,,F2
,,,,,,,,RAB18
,,,,,,,,PHB
,,,,,,,,ARHGEF9
,,,,,,,,NUFIP1
,,,,,,,,FCN2
,,,,,,,,CHP2
,,,,,,,,B4GALT1
,,,,,,,,SART1
,,,,,,,,RAB15
,,,,,,,,HSD11B1
,,,,,,,,CYB5B
,,,,,,,,SGF29
,,,,,,,,ZNF165
,,,,,,,,AGR3
,,,,,,,,SAA2
,,,,,,,,INTS3
,,,,,,,,NOX1
,,,,,,,,ACTN4
,,,,,,,,CUL5
,,,,,,,,PTTG2
,,,,,,,,STAT4
,,,,,,,,SCARB1
,,,,,,,,NOLC1
,,,,,,,,MIR15B
,,,,,,,,TNP2
,,,,,,,,PPM1B
,,,,,,,,PLK3
,,,,,,,,SOX11
,,,,,,,,MIR15A
,,,,,,,,ARID2
,,,,,,,,CAMK2N1
,,,,,,,,STK17B
,,,,,,,,LPAR6
,,,,,,,,MYOG
,,,,,,,,SRSF2
,,,,,,,,CDK11A
,,,,,,,,CCNL1
,,,,,,,,ROCK1
,,,,,,,,PLAG1
,,,,,,,,BAAT
,,,,,,,,BATF2
,,,,,,,,YTHDF2
,,,,,,,,RCOR3
,,,,,,,,OCM
,,,,,,,,CSN3
,,,,,,,,SSH2
,,,,,,,,IFNL4
,,,,,,,,PICK1
,,,,,,,,GNG10
,,,,,,,,TROAP
,,,,,,,,UBE2C
,,,,,,,,GNAZ
,,,,,,,,NRXN3
,,,,,,,,TMEM192
,,,,,,,,LIFR
,,,,,,,,BTBD7
,,,,,,,,CA12
,,,,,,,,NKX2-2
,,,,,,,,VTI1A
,,,,,,,,BMI1
,,,,,,,,RASD1
,,,,,,,,PALMD
,,,,,,,,NANOGP8
,,,,,,,,MPL
,,,,,,,,HDAC8
,,,,,,,,HSP90AB1
,,,,,,,,HSPH1
,,,,,,,,HSPA4L
,,,,,,,,SERPINA6
,,,,,,,,FXYD5
,,,,,,,,ECHS1
,,,,,,,,UBD
,,,,,,,,ABR
,,,,,,,,LRRC24
,,,,,,,,DOHH
,,,,,,,,HSPA9
,,,,,,,,ASB9
,,,,,,,,TXK
,,,,,,,,RNF2
,,,,,,,,SWI5
,,,,,,,,CHAF1A
,,,,,,,,RAPGEF5
,,,,,,,,CCDC88A
,,,,,,,,TYRP1
,,,,,,,,UBIAD1
,,,,,,,,APOH
,,,,,,,,SDC2
,,,,,,,,ISG15
,,,,,,,,PCSK6
,,,,,,,,TFRC
,,,,,,,,MAPKAPK3
,,,,,,,,SYAP1
,,,,,,,,SULT2A1
,,,,,,,,LIPG
,,,,,,,,PRPF4B
,,,,,,,,SIRT5
,,,,,,,,SIRT4
,,,,,,,,USP18
,,,,,,,,SLC27A3
,,,,,,,,MAP3K2
,,,,,,,,DEDD
,,,,,,,,CBX4
,,,,,,,,MIR152
,,,,,,,,SSX2
,,,,,,,,PSMC2
,,,,,,,,PSMD12
,,,,,,,,CIAO1
,,,,,,,,SEMA3E
,,,,,,,,RCOR1
,,,,,,,,KLF9
,,,,,,,,AHCY
,,,,,,,,NGB
,,,,,,,,STAT5B
,,,,,,,,TGFB1I1
,,,,,,,,UNG
,,,,,,,,GLDC
,,,,,,,,KIR3DL2
,,,,,,,,GZMH
,,,,,,,,ERP29
,,,,,,,,SIN3A
,,,,,,,,PFKP
,,,,,,,,FAM9C
,,,,,,,,LITAF
,,,,,,,,CIDEC
,,,,,,,,TNFAIP8L2
,,,,,,,,KLF14
,,,,,,,,SAA4
,,,,,,,,CCL23
,,,,,,,,NFKBIZ
,,,,,,,,CROT
,,,,,,,,CYP4F11
,,,,,,,,APOO
,,,,,,,,USP2
,,,,,,,,SULT1E1
,,,,,,,,CHIT1
,,,,,,,,IFI6
,,,,,,,,HMGN1
,,,,,,,,GLS
,,,,,,,,CNST
,,,,,,,,SPA17
,,,,,,,,WDR48
,,,,,,,,TRPV2
,,,,,,,,RTEL1
,,,,,,,,RB1CC1
,,,,,,,,ATG4C
,,,,,,,,PLSCR1
,,,,,,,,HADH
,,,,,,,,STAB2
,,,,,,,,TIAM2
,,,,,,,,SENP2
,,,,,,,,RIPK3
,,,,,,,,GPT2
,,,,,,,,PDGFRL
,,,,,,,,CTBP2
,,,,,,,,PIGF
,,,,,,,,PTTG1IP
,,,,,,,,E2F6
,,,,,,,,AKIRIN2
,,,,,,,,TSPYL2
,,,,,,,,VNN3
,,,,,,,,PPP2R2B
,,,,,,,,NR1H3
,,,,,,,,PAPSS1
,,,,,,,,NANOS1
,,,,,,,,OXGR1
,,,,,,,,PDCD6IP
,,,,,,,,SRRM1
,,,,,,,,NOL3
,,,,,,,,SERPINA10
,,,,,,,,GRIA2
,,,,,,,,NKX2-3
,,,,,,,,POLD1
,,,,,,,,EPX
,,,,,,,,SMC2
,,,,,,,,SMC1A
,,,,,,,,DDIT4
,,,,,,,,MATN2
,,,,,,,,VKORC1
,,,,,,,,FBXO4
,,,,,,,,CLCN4
,,,,,,,,PTPRO
,,,,,,,,ANKRD11
,,,,,,,,EIF3I
,,,,,,,,GNPDA1
,,,,,,,,OPN3
,,,,,,,,SLC35F5
,,,,,,,,PLA2G6
,,,,,,,,RARRES2
,,,,,,,,CDCA7L
,,,,,,,,GLUD1
,,,,,,,,CPA4
,,,,,,,,PCDH7
,,,,,,,,TSHR
,,,,,,,,SLC11A2
,,,,,,,,RASGRP3
,,,,,,,,FGF17
,,,,,,,,PGAM1
,,,,,,,,OGDH
,,,,,,,,PCA3
,,,,,,,,PCK1
,,,,,,,,TMEM9
,,,,,,,,PYCARD
,,,,,,,,KIFC1
,,,,,,,,MAGI1
,,,,,,,,C10orf10
,,,,,,,,CEBPG
,,,,,,,,NFE2L1
,,,,,,,,DDX3Y
,,,,,,,,ASCC3
,,,,,,,,TST
,,,,,,,,FTCD
,,,,,,,,FMR1
,,,,,,,,CBX1
,,,,,,,,HNRNPD
,,,,,,,,UMOD
,,,,,,,,CCL14
,,,,,,,,TCEA2
,,,,,,,,ZNF689
,,,,,,,,BCL2A1
,,,,,,,,NT5C2
,,,,,,,,STAG1
,,,,,,,,VBP1
,,,,,,,,KMT2B
,,,,,,,,C16orf62
,,,,,,,,AIFM3
,,,,,,,,RFX1
,,,,,,,,HIVEP2
,,,,,,,,MYH2
,,,,,,,,SLC40A1
,,,,,,,,ALAS2
,,,,,,,,TPP1
,,,,,,,,ZBTB17
,,,,,,,,CEBPD
,,,,,,,,PODXL
,,,,,,,,RDH10
,,,,,,,,DHCR24
,,,,,,,,GPS1
,,,,,,,,MIR100
,,,,,,,,SPAG9
,,,,,,,,SGSM3
,,,,,,,,TUBA1B
,,,,,,,,QKI
,,,,,,,,PTGDS
,,,,,,,,ATAD2
,,,,,,,,FBXO31
,,,,,,,,PI4KA
,,,,,,,,GPR87
,,,,,,,,TCP10L
,,,,,,,,HLA-DPA1
,,,,,,,,EPHX4
,,,,,,,,E4F1
,,,,,,,,ENO3
,,,,,,,,MTHFD2
,,,,,,,,SRP72
,,,,,,,,OXCT1
,,,,,,,,ITGA9
,,,,,,,,CTPS1
,,,,,,,,NHS
,,,,,,,,CDKN2C
,,,,,,,,HIST1H2AE
,,,,,,,,CNOT1
,,,,,,,,MACF1
,,,,,,,,PDE7A
,,,,,,,,NELL1
,,,,,,,,NRXN1
,,,,,,,,ADAM21
,,,,,,,,PDE4B
,,,,,,,,PDE11A
,,,,,,,,MYOM1
,,,,,,,,LRFN2
,,,,,,,,SHARPIN
,,,,,,,,SHANK1
,,,,,,,,PSMA4
,,,,,,,,NRSN2
,,,,,,,,ARMC10
,,,,,,,,MARVELD1
,,,,,,,,SOX8
,,,,,,,,MCRS1
,,,,,,,,REG3G
,,,,,,,,INPPL1
,,,,,,,,PLTP
,,,,,,,,ST3GAL5
,,,,,,,,SPRR3
,,,,,,,,ANGPTL7
,,,,,,,,CRMP1
,,,,,,,,GEMIN4
,,,,,,,,TSPO2
,,,,,,,,WRAP53
,,,,,,,,PAK6
,,,,,,,,TALDO1
,,,,,,,,FPGS
,,,,,,,,YOD1
,,,,,,,,HERPUD1
,,,,,,,,CRELD2
,,,,,,,,WFS1
,,,,,,,,HTR2B
,,,,,,,,SGTB
,,,,,,,,SGTA
,,,,,,,,ZMIZ1
,,,,,,,,ZMPSTE24
,,,,,,,,LMCD1
,,,,,,,,MIR216A
,,,,,,,,MTBP
,,,,,,,,LIPE
,,,,,,,,NCOA5
,,,,,,,,ABCC6
,,,,,,,,MGAT4A
,,,,,,,,MGAT4B
,,,,,,,,DEDD2
,,,,,,,,CASP4
,,,,,,,,CRY2
,,,,,,,,CRY1
,,,,,,,,ZHX3
,,,,,,,,SLC30A1
,,,,,,,,IDE
,,,,,,,,ADAMDEC1
,,,,,,,,LRAT
,,,,,,,,ZG16
,,,,,,,,CDC14B
,,,,,,,,TNFRSF11A
,,,,,,,,GPC5
,,,,,,,,MIR31
,,,,,,,,CLEC4G
,,,,,,,,P2RY2
,,,,,,,,DRG2
,,,,,,,,DEK
,,,,,,,,COMMD7
,,,,,,,,RS1
